model,prompt_text,prompt_type,category,n_samples,n_unique,unique_rate,entropy,most_common,dominance
gpt-4o,What is the most popular sport in the world?,factual_baseline,factual_baseline,20,3,0.15,0.8841837193463803,soccer (football),0.8
gpt-4o,What is the most underrated African country to visit?,underrated,travel,20,3,0.15,0.5689955931564726,são tomé and príncipe,0.9
gpt-4o,What is the most underrated Asian destination?,underrated,travel,20,9,0.45,2.1709505931562427,"luang prabang, laos",0.6
gpt-4o,What is the most underrated NBA player of all time?,underrated,sports,20,11,0.55,3.16595731936221,arvydas sabonis,0.25
gpt-4o,What is the most underrated Olympic event?,underrated,sports,20,8,0.4,2.639353871013045,biathlon,0.35
gpt-4o,What is the most underrated US state to visit?,underrated,travel,20,7,0.35,2.384183718769302,maine,0.4
gpt-4o,What is the most underrated action movie?,underrated,movies,20,3,0.15,1.0762976252923904,dredd,0.7
gpt-4o,What is the most underrated album of all time?,underrated,music,20,9,0.45,2.870950593156243,pink moon,0.3
gpt-4o,What is the most underrated animated movie?,underrated,movies,20,6,0.3,2.1232196714698905,the iron giant.,0.5
gpt-4o,What is the most underrated app?,underrated,technology,20,8,0.4,2.6016094959048717,pocket casts,0.35
gpt-4o,What is the most underrated athlete?,underrated,sports,20,13,0.65,3.4037016941818443,tim duncan,0.25
gpt-4o,What is the most underrated author?,underrated,books,20,14,0.7,3.5037016940375754,octavia butler,0.25
gpt-4o,What is the most underrated band?,underrated,music,20,10,0.5,2.908694968120147,big thief,0.3
gpt-4o,What is the most underrated baseball player?,underrated,sports,20,3,0.15,0.5689955931564726,kenny lofton,0.9
gpt-4o,What is the most underrated beach destination?,underrated,travel,20,15,0.75,3.7219280927233194,"zanzibar, tanzania",0.2
gpt-4o,What is the most underrated biography?,underrated,books,20,15,0.75,3.7219280927233194,the years of lyndon johnson,0.2
gpt-4o,What is the most underrated book of all time?,underrated,books,20,2,0.1,0.4689955933007422,the master and margarita,0.9
gpt-4o,What is the most underrated breakfast food?,underrated,food,20,13,0.65,3.4841837179036856,overnight oats,0.2
gpt-4o,What is the most underrated city in Europe?,underrated,travel,20,12,0.6,3.2464393429397815,ljubljana,0.3
gpt-4o,What is the most underrated city in the US?,underrated,travel,20,7,0.35,2.480482022711954,milwaukee,0.25
gpt-4o,What is the most underrated classic novel?,underrated,books,20,6,0.3,1.6788979021218617,the master and margarita,0.65
gpt-4o,What is the most underrated classical composer?,underrated,music,20,12,0.6,3.2464393429397815,fanny mendelssohn,0.3
gpt-4o,What is the most underrated comedy movie?,underrated,movies,20,9,0.45,2.984183718480763,popstar: never stop never stopping,0.2
gpt-4o,What is the most underrated country to visit?,underrated,travel,20,2,0.1,0.4689955933007422,slovenia,0.9
gpt-4o,What is the most underrated cuisine?,underrated,food,20,6,0.3,2.108694968697225,ethiopian cuisine,0.4
gpt-4o,What is the most underrated dessert?,underrated,food,20,8,0.4,2.4414460700113656,bread pudding,0.4
gpt-4o,What is the most underrated dish?,underrated,food,20,10,0.5,3.0841837183364937,shakshuka,0.2
gpt-4o,What is the most underrated documentary?,underrated,movies,20,9,0.45,2.7659573196507496,the act of killing,0.3
gpt-4o,What is the most underrated electronic music artist?,underrated,music,20,14,0.7,3.584183717759416,clark,0.2
gpt-4o,What is the most underrated engineering achievement?,underrated,science,20,15,0.75,3.684183717615146,the panama canal,0.2
gpt-4o,What is the most underrated environmental innovation?,underrated,science,20,11,0.55,2.795461842651357,biochar,0.45
gpt-4o,What is the most underrated extreme sport?,underrated,sports,20,14,0.7,3.4464393426512423,sandboarding,0.3
gpt-4o,What is the most underrated fantasy novel?,underrated,books,20,10,0.5,3.1464393432283204,the goblin emperor,0.2
gpt-4o,What is the most underrated field of science?,underrated,science,20,9,0.45,2.4954618429398963,mycology,0.45
