prompt_text,prompt_type,category,mean_jaccard,top1_unanimous,n_unique_top1
What is the most underrated operating system?,underrated,technology,0.2888888888888889,False,2
What is the most underrated website?,underrated,technology,0.30952380952380953,False,3
What is the most underrated tech innovation?,underrated,technology,0.1574074074074074,False,3
What is the most underrated sport?,underrated,sports,0.2261904761904762,False,3
What is the most underrated athlete?,underrated,sports,0.19576719576719573,False,2
What is the most underrated NBA player of all time?,underrated,sports,0.047619047619047616,False,3
What is the most underrated soccer team?,underrated,sports,0.30158730158730157,False,2
What is the most underrated Olympic event?,underrated,sports,0.3333333333333333,False,3
What is the most underrated football (NFL) player?,underrated,sports,0.08333333333333333,False,3
What is the most underrated baseball player?,underrated,sports,0.14814814814814814,False,2
What is the most underrated sports rivalry?,underrated,sports,0.0,False,3
What is the most underrated martial art?,underrated,sports,0.3507936507936507,False,3
What is the most underrated extreme sport?,underrated,sports,0.13227513227513227,False,3
What is the most underrated scientific discovery?,underrated,science,0.08333333333333333,False,2
What is the most underrated scientist?,underrated,science,0.7166666666666667,True,1
What is the most underrated field of science?,underrated,science,0.30158730158730157,False,2
What is the most underrated invention?,underrated,science,0.242063492063492,False,2
What is the most underrated mathematical theorem?,underrated,science,0.08333333333333333,False,3
What is the most underrated medical breakthrough?,underrated,science,0.0,False,3
What is the most underrated space mission?,underrated,science,0.1574074074074074,False,2
What is the most underrated technology from the 20th century?,underrated,science,0.037037037037037035,False,3
What is the most underrated engineering achievement?,underrated,science,0.1111111111111111,False,3
What is the most underrated environmental innovation?,underrated,science,0.13095238095238096,True,1
What is the best movie of all time?,popular_consensus,popular_consensus,0.2222222222222222,True,1
What is the best album of all time?,popular_consensus,popular_consensus,0.36507936507936506,False,2
What is the best book of all time?,popular_consensus,popular_consensus,0.33968253968253964,True,1
What is the best cuisine in the world?,popular_consensus,popular_consensus,0.25,True,1
What is the best country to visit?,popular_consensus,popular_consensus,0.4222222222222222,False,3
What is the best programming language?,popular_consensus,popular_consensus,0.5,False,2
What is the best sport in the world?,popular_consensus,popular_consensus,0.22261904761904763,False,3
What is the best scientific discovery?,popular_consensus,popular_consensus,0.1111111111111111,False,3
What is the highest-grossing movie of all time?,factual_baseline,factual_baseline,0.4444444444444444,True,1
What is the best-selling album of all time?,factual_baseline,factual_baseline,0.4444444444444444,False,2
What is the best-selling book of all time?,factual_baseline,factual_baseline,0.5555555555555555,False,2
What is the most popular cuisine globally?,factual_baseline,factual_baseline,1.0,True,1
What is the most visited country in the world?,factual_baseline,factual_baseline,1.0,True,1
What is the most popular programming language?,factual_baseline,factual_baseline,1.0,False,2
What is the most popular sport in the world?,factual_baseline,factual_baseline,0.5555555555555555,True,1
What was the most impactful scientific discovery?,factual_baseline,factual_baseline,0.1574074074074074,False,3
